공원명,공원구분,소재지지번주소,위도,경도,공원면적,관리기관명,제공기관코드,제공기관명
4호공원,어린이공원,경기도 여주시 홍문동 283,37.2908183,127.6378157,1926,경기도 여주시청,5700000,경기도 여주시
5호공원,어린이공원,경기도 여주시 상동 373-8,37.2918843,127.6412891,2170,경기도 여주시청,5700000,경기도 여주시
7호공원,어린이공원,경기도 여주시 하동 412-1,37.29628178,127.6300342,2330,경기도 여주시청,5700000,경기도 여주시
9호공원,어린이공원,경기도 여주시 하동 422,37.29997479,127.6241111,1730,경기도 여주시청,5700000,경기도 여주시
10호공원,어린이공원,경기도 여주시 오학동 419,37.3039552,127.6464464,1500,경기도 여주시청,5700000,경기도 여주시
물빛공원,근린공원,경기도 의왕시 포일동 647-1,37.39905763,126.9849477,25326.4,경기도 의왕시청,4030000,경기도 의왕시
산빛공원,근린공원,경기도 의왕시 포일동 654,37.39916058,126.9880189,37712.3,경기도 의왕시청,4030000,경기도 의왕시
노을빛공원,수변공원,경기도 의왕시 포일동 646-1,37.40055682,126.9853646,7074.7,경기도 의왕시청,4030000,경기도 의왕시
두산위브공원,소공원,경기도 의왕시 포일동 638-2,37.39172589,126.9793145,518.7,경기도 의왕시청,4030000,경기도 의왕시
모락공원,어린이공원,경기도 의왕시 포일동 638-3,37.3918662,126.9795418,4800,경기도 의왕시청,4030000,경기도 의왕시
공원41,소공원,경기도 의왕시 오전동 35-21,37.36165055,126.9627752,1638.6,경기도 의왕시청,4030000,경기도 의왕시
공원44,소공원,경기도 의왕시 오전동 107-2,37.35915552,126.9654183,1675,경기도 의왕시청,4030000,경기도 의왕시
공원47,소공원,경기도 의왕시 내손동 664-18,37.39065502,126.9846537,3203.7,경기도 의왕시청,4030000,경기도 의왕시
공원48,소공원,경기도 의왕시 오전동 324-2,37.35103477,126.9732212,1146,경기도 의왕시청,4030000,경기도 의왕시
갈미한글공원,문화공원,경기도 의왕시 내손동 228-1,37.37796498,126.9849552,12537,경기도 의왕시청,4030000,경기도 의왕시
방아어린이공원,어린이공원,경기도 군포시 당동 886-1,37.34507441,126.9469476,1838.2,경기도 군포시청,4020000,경기도 군포시
신기어린이공원,어린이공원,경기도 군포시 당동 874-1,37.34286142,126.9407942,1559.9,경기도 군포시청,4020000,경기도 군포시
샘들어린이공원,어린이공원,경기도 군포시 당동 882,37.3422031,126.9433963,1806.9,경기도 군포시청,4020000,경기도 군포시
노루목어린이공원,어린이공원,경기도 군포시 산본동 80-3,37.37319798,126.9383136,1771.1,경기도 군포시청,4020000,경기도 군포시
바위백이어린이공원,어린이공원,경기도 군포시 산본동 242,37.37046299,126.9425773,1500,경기도 군포시청,4020000,경기도 군포시
을지어린이공원,어린이공원,경기도 군포시 산본동 1145-13,37.35674143,126.9271891,1538.7,경기도 군포시청,4020000,경기도 군포시
율곡어린이공원,어린이공원,경기도 군포시 금정동 876-1,37.35404473,126.9321243,1500,경기도 군포시청,4020000,경기도 군포시
퇴계어린이공원,어린이공원,경기도 군포시 금정동 875-3,37.35334734,126.9301532,1500,경기도 군포시청,4020000,경기도 군포시
후포공원,근린공원,경상북도 울진군 후포면 후포리 산141-9,36.68078721,129.4619186,42363,경상북도 울진군청,5250000,경상북도 울진군
사정1공원,어린이공원,경상북도 경산시 사정동 199-3,35.816716,128.726154,1700,경상북도 경산시청,5130000,경상북도 경산시
중산공원,어린이공원,경상북도 경산시 정평동 222-91,35.83031295,128.728716,2250,경상북도 경산시청,5130000,경상북도 경산시
정평1공원,어린이공원,경상북도 경산시 정평동158-9,35.83586089,128.7273997,2049,경상북도 경산시청,5130000,경상북도 경산시
상방공원,어린이공원,경상북도 경산시 상방동 133-1,35.812021,128.742174,1700,경상북도 경산시청,5130000,경상북도 경산시
백천공원,어린이공원,경상북도 경산시 백천동 115-9,35.80389937,128.742351,3108,경상북도 경산시청,5130000,경상북도 경산시
서상공원,어린이공원,경상북도 경산시 삼남동 148-14,35.81388734,128.736967,1500,경상북도 경산시청,5130000,경상북도 경산시
계양7공원,어린이공원,경상북도 경산시 계양동 69-2,35.832556,128.746405,1000,경상북도 경산시청,5130000,경상북도 경산시
부적3공원,어린이공원,경상북도 경산시 압량읍 부적리 382,35.843552,128.757681,6048.9,경상북도 경산시청,5130000,경상북도 경산시
1호어린이공원(임당1어린이공원),어린이공원,경상북도 경산시 임당동 631-1,35.840986,128.7505838,5437.7,경상북도 경산시청,5130000,경상북도 경산시
