순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
448,전라남도,고흥군,능가사,전남 고흥군 팔봉길 21-0,역사관광,종교성지,2933
450,전라남도,목포시,목포해양경찰서전용부두,전남 목포시 고하대로597번길 99-64,자연관광,자연경관(하천/해양),2918
451,전라남도,강진군,마량놀토수산시장,전남 강진군 미항로 152-0,쇼핑,시장,2895
452,전라남도,여수시,아이뮤지엄,전남 여수시 박람회길 1-0,문화관광,전시시설,2891
453,전라남도,곡성군,곡성버스터미널,전남 곡성군 군청로 6-0,기타관광,교통시설,2890
454,전라남도,담양군,테테루테마파크,전남 담양군 메타세쿼이아로 146-0,문화관광,테마공원,2887
455,전라남도,무안군,송계어촌체험마을,전남 무안군 만송로 916-0,레저스포츠,기타레저스포츠,2883
456,전라남도,광양시,CGV광양,전남 광양시 금호로 26-0,문화관광,공연시설,2882
457,전라남도,무안군,남악시장,전남 무안군,쇼핑,시장,2865
458,전라남도,담양군,명옥헌,전남 담양군 후산길 103-0,기타관광,기타관광,2857
459,전라남도,구례군,구례수목원,전남 구례군 탑동1길 125-0,자연관광,자연공원,2844
460,전라남도,고흥군,고흥분청문화박물관,전남 고흥군 분청문화박물관길 99-0,문화관광,전시시설,2837
461,전라남도,장흥군,스파리조트안단테,전남 장흥군 수문용곡로 270-0,문화관광,복합관광시설,2831
462,전라남도,신안군,신안튤립공원,전남 신안군 대광해수욕장길 172-22,문화관광,도시공원,2829
463,전라남도,진도군,국립남도국악원,전남 진도군 진도대로 3818-0,문화관광,공연시설,2824
464,전라남도,장성군,황룡전통시장,전남 장성군 삼월길 5-0,쇼핑,시장,2819
465,전라남도,곡성군,태안사,전남 곡성군 태안로 622-215,역사관광,종교성지,2781
466,전라남도,무안군,일로역,전남 무안군,기타관광,교통시설,2778
467,전라남도,영암군,신북시외버스터미널,전남 영암군,기타관광,교통시설,2776
468,전라남도,순천시,조은프라자,전남 순천시 연향상가길 41-0,쇼핑,쇼핑몰,2773
469,전라남도,해남군,땅끝항여객선터미널,전남 해남군 땅끝마을길 111-0,기타관광,교통시설,2766
469,전라남도,장성군,필암서원,전남 장성군 필암서원로 184-0,역사관광,역사유적지,2766
471,전라남도,나주시,나주배박물관,전남 나주시 영산로 5838-0,문화관광,전시시설,2761
472,전라남도,곡성군,압록상상스쿨,전남 곡성군 섬진강로 1060-0,문화관광,기타문화관광지,2750
473,전라남도,여수시,여수세계박람회장해양공원,전남 여수시 박람회길 1-0,문화관광,도시공원,2745
474,전라남도,구례군,천개의향나무숲,전남 구례군 천변길 12-0,문화관광,테마공원,2742
475,전라남도,진도군,진도조금시장,전남 진도군 조금시장길 25-0,쇼핑,시장,2741
476,전라남도,영광군,영광물무산행복숲,전남 영광군,문화관광,도시공원,2731
477,전라남도,장성군,국립장성숲체원,전남 장성군 방장로 353-0,자연관광,자연공원,2730
478,전라남도,순천시,낙안읍성,전남 순천시,역사관광,역사유적지,2725
479,전라남도,여수시,여수선사유적공원,전남 여수시,문화관광,도시공원,2723
480,전라남도,완도군,장보고기념관,전남 완도군 청해진로 1455-0,문화관광,전시시설,2720
481,전라남도,함평군,함평엑스포물놀이장,전남 함평군 곤재로 27-0,문화관광,테마공원,2712
482,전라남도,신안군,송공여객선터미널,전남 신안군 압해로 1846-1,기타관광,교통시설,2707
483,전라남도,해남군,해남5일시장,전남 해남군 중앙2로 100-2,쇼핑,시장,2682
484,전라남도,해남군,해남우수영여객선임시터미널,전남 해남군 우수영안길 96-0,기타관광,교통시설,2667
485,전라남도,광양시,제품부두,전남 광양시 제철로 1655-426,기타관광,교통시설,2624
486,전라남도,해남군,목포구등대,전남 해남군 매봉길 582-0,문화관광,랜드마크관광,2622
487,전라남도,장흥군,회진항,전남 장흥군 회진선창길 0-0,자연관광,자연경관(하천/해양),2621
488,전라남도,곡성군,옥과종합버스터미널,전남 곡성군 대학로 156-1,기타관광,교통시설,2599
489,전라남도,무안군,도리포,전남 무안군 만송로 0-0,자연관광,자연경관(하천/해양),2590
490,전라남도,여수시,여천항,전남 여수시 여천금이길 11-9,자연관광,자연경관(하천/해양),2588
491,전라남도,장흥군,유치자연휴양림,전남 장흥군 휴양림길 154-0,자연관광,자연공원,2571
492,전라남도,장흥군,천관산자연휴양림,전남 장흥군 칠관로 842-1150,자연관광,자연공원,2568
492,전라남도,완도군,전라남도완도자연휴양림,전남 완도군 대야일구1길 115-0,자연관광,자연공원,2568
494,전라남도,해남군,보해매실농원,전남 해남군 예덕길 125-89,체험관광,농/산/어촌체험,2567
495,전라남도,장성군,장성호,전남 장성군,자연관광,자연경관(하천/해양),2565
496,전라남도,화순군,백아산눈썰매장,전남 화순군 백아로 0-0,레저스포츠,육상레저스포츠,2556
497,전라남도,여수시,대경도선착장,전남 여수시 대경도길 6-0,기타관광,교통시설,2548
498,전라남도,화순군,화순고인돌공원,전남 화순군,문화관광,도시공원,2547
