영업상태명,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,업태구분명,좌표정보(X),좌표정보(Y)
영업/정상,영업,전라남도 목포시 산정동 1658-37번지 ,전라남도 목포시 원산로 29 (산정동),58714,일반조리판매,142560.5596,145144.8799
영업/정상,영업,전라남도 목포시 상동 1134 롯데마트목포점 ,"전라남도 목포시 원형서로 15, 롯데마트목포점 1층 (상동)",58748,과자점,147706.1712,144446.1204
영업/정상,영업,전라남도 목포시 용당동 960-17 (1층) ,"전라남도 목포시 영산로270번길 4 (용당동,(1층))",58707,일반조리판매,144627.0013,145174.852
영업/정상,영업,전라남도 목포시 금동1가 1-17 ,"전라남도 목포시 만호로 25-3, 1층 (금동1가)",58753,다방,143510.2847,143047.864
영업/정상,영업,전라남도 목포시 산정동 1082-2번지 ,전라남도 목포시 산정로 60 (산정동),58732,일반조리판매,144412.8463,144092.94
영업/정상,영업,전라남도 목포시 죽교동 575-71번지 ,전라남도 목포시 북항로 70 (죽교동),58717,일반조리판매,142918.3417,144781.6314
영업/정상,영업,전라남도 목포시 양동 86-22번지 1층 ,"전라남도 목포시 삼일로 39, 1층 (양동)",58722,다방,143603.6223,144308.3412
영업/정상,영업,전라남도 목포시 축복동3가 6-7번지 ,전라남도 목포시 수강로12번길 35 (축복동3가),58752,다방,143899.9722,143475.4115
영업/정상,영업,전라남도 목포시 산정동 1744-3 ,전라남도 목포시 원산중앙로 32 (산정동),58639,편의점,142827.7048,145700.7211
영업/정상,영업,전라남도 목포시 행복동2가 4-1번지 ,전라남도 목포시 해안로237번길 21-1 (행복동2가),58753,다방,143714.1973,143376.0853
영업/정상,영업,전라남도 목포시 옥암동 1032 ,전라남도 목포시 통일대로75번길 23 (옥암동),58687,편의점,147857.9317,144984.5383
영업/정상,영업,전라남도 목포시 대성동 138-2번지 (2층) ,,,다방,143492.9085,144554.6062
영업/정상,영업,전라남도 목포시 용당동 1103-12 ,전라남도 목포시 영산로 316-1 (용당동),58700,편의점,145044.3269,145368.436
영업/정상,영업,전라남도 목포시 상동 1159-1 ,전라남도 목포시 평화로 86 (상동),58750,편의점,148153.165,144402.0221
영업/정상,영업,전라남도 목포시 상동 889번지 외2필지 ,"전라남도 목포시 백년대로 298 (상동,외2필지)",58690,커피숍,146913.1001,145160.3035
영업/정상,영업,전라남도 목포시 용당동 1199-1번지 종원골드하이츠 상가동 101호 ,,,패스트푸드,144518.2437,146026.7049
영업/정상,영업,전라남도 목포시 산정동 1699-21번지 ,전라남도 목포시 청호로 115 (산정동),58716,커피숍,142977.7696,145035.1657
영업/정상,영업,전라남도 목포시 상동 987번지 ,"전라남도 목포시 비파로43번길 31-1, 1층 (상동)",58691,과자점,147215.3701,144853.5804
영업/정상,영업,전라남도 목포시 용당동 1087-1번지 ,전라남도 목포시 영산로 313 (용당동),58651,패스트푸드,144991.4813,145423.7162
영업/정상,영업,"전라남도 목포시 용당동 1087-1 ,지하2층 ","전라남도 목포시 영산로 313 (용당동,,지하2층)",58651,패스트푸드,144991.4813,145423.7162
영업/정상,영업,"전라남도 목포시 죽동 26-10번지 외 1필지, 1층 ","전라남도 목포시 노적봉길 12-1, 1층 (죽동)",58728,커피숍,143568.1689,143678.4088
영업/정상,영업,전라남도 목포시 죽교동 38-3번지 ,전라남도 목포시 북항로81번길 14 (죽교동),58719,기타 휴게음식점,142695.4474,144713.7127
영업/정상,영업,전라남도 목포시 양동 86-60 ,전라남도 목포시 삼일로 31 (양동),58722,기타 휴게음식점,143581.7388,144219.1253
영업/정상,영업,전라남도 목포시 상동 1116-8 ,전라남도 목포시 평화로 10 (상동),58749,패스트푸드,147559.9878,144427.1732
영업/정상,영업,전라남도 목포시 상동 1131 ,전라남도 목포시 원형로 45 (상동),58747,편의점,147897.07,144617.7441
영업/정상,영업,전라남도 목포시 옥암동 1040-32 ,전라남도 목포시 삼향천로 8 (옥암동),58686,패스트푸드,148283.6301,145043.5044
영업/정상,영업,전라남도 목포시 옥암동 1002 ,"전라남도 목포시 장미로 85, 1층 (옥암동)",58685,편의점,147740.1467,145248.7202
영업/정상,영업,전라남도 목포시 산정동 1712-10 ,전라남도 목포시 연산로 163 (산정동),58636,편의점,143154.6285,145988.7205
영업/정상,영업,전라남도 목포시 상동 251-38번지 1층 ,"전라남도 목포시 영산로 559, 1층 (상동)",58617,커피숍,146824.8076,146488.2328
영업/정상,영업,전라남도 목포시 산정동 1781-11 ,전라남도 목포시 양을로41번길 43 (산정동),58640,편의점,142964.114,145270.0039
영업/정상,영업,전라남도 목포시 상동 174-5 ,전라남도 목포시 중화길18번길 24 (상동),58643,다방,146585.4982,145999.1877
영업/정상,영업,전라남도 목포시 상동 744-9 ,전라남도 목포시 상리로1번길 30 (상동),58642,일반조리판매,146328.7467,146273.0565
영업/정상,영업,전라남도 목포시 산정동 1712-13 ,전라남도 목포시 원산중앙로 72-1 (산정동),58636,패스트푸드,143125.3779,145963.0453
