순위,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
29,여수시,유월드루지테마파크,전남 여수시 안심산길 155-0,문화관광,테마공원,43008
30,보성군,율포해수욕장,전남 보성군 우암길 24-0,자연관광,자연경관(하천/해양),42473
31,순천시,순천종합버스터미널,전남 순천시 장천3길 13-0,기타관광,교통시설,41522
32,담양군,메타세쿼이아가로수길,전남 담양군,기타관광,기타관광,40303
33,영광군,영광종합버스터미널,전남 영광군 신남로 180-0,기타관광,교통시설,36470
34,여수시,돌산공원,전남 여수시,문화관광,도시공원,36390
35,순천시,선암사,전남 순천시 선암사길 450-0,역사관광,종교성지,35865
36,목포시,목포항국제여객터미널,전남 목포시 해안로148번길 14-0,기타관광,교통시설,35159
37,진도군,진도항,전남 진도군 진도항길 101-0,자연관광,자연경관(하천/해양),35157
38,함평군,돌머리해변,전남 함평군,자연관광,자연경관(하천/해양),34699
39,담양군,담양관방제림,전남 담양군,역사관광,역사유적지,34287
40,여수시,여수수산물특화시장,전남 여수시 남산로 60-31,쇼핑,시장,32895
41,고흥군,녹동신항연안여객선터미널,전남 고흥군 비봉로 266-16,기타관광,교통시설,32656
42,무안군,무안CC,전남 무안군,레저스포츠,육상레저스포츠,31004
43,보성군,보성녹차밭,전남 보성군,기타관광,기타관광,30906
44,여수시,여수수산시장,전남 여수시 여객선터미널길 24-0,쇼핑,시장,29825
45,순천시,NC백화점순천점,전남 순천시 비봉2길 22-0,쇼핑,백화점,29803
46,순천시,송광사,전남 순천시 송광사안길 100-0,역사관광,종교성지,28996
47,장성군,푸른솔GC,전남 장성군 임정로 155-0,레저스포츠,육상레저스포츠,28739
48,장성군,장성역,전남 장성군 역전로 87-0,기타관광,교통시설,27584
49,영광군,불갑사,전남 영광군 불갑사로 450-0,역사관광,종교성지,27209
50,영암군,사우스링스영암CC짐앵,전남 영암군 에프원로 121-1,레저스포츠,육상레저스포츠,27201
51,목포시,목포북항,전남 목포시,자연관광,자연경관(하천/해양),27087
52,완도군,신지명사십리해수욕장,전남 완도군 명사십리길 85-105,자연관광,자연경관(하천/해양),26331
53,순천시,와온해변,전남 순천시,자연관광,자연경관(하천/해양),25816
54,구례군,노고단,전남 구례군,자연관광,자연경관(산),25636
55,해남군,대흥사,전남 해남군 대흥사길 400-0,역사관광,종교성지,25634
56,나주시,해피니스CC,전남 나주시 다도로 171-60,레저스포츠,육상레저스포츠,25258
57,나주시,골드레이크CC,전남 나주시 나주호로 442-129,레저스포츠,육상레저스포츠,24795
58,구례군,사성암,전남 구례군 사성암길 303-0,역사관광,종교성지,24654
59,보성군,벌교역,전남 보성군 채동선로 228-0,기타관광,교통시설,23877
60,해남군,해남종합버스터미널,전남 해남군 해남로 8-0,기타관광,교통시설,23789
61,담양군,메타세콰이어길,전남 담양군,기타관광,데이트코스,23669
62,여수시,신기항여객터미널,전남 여수시 신기길 90-0,기타관광,교통시설,22978
63,순천시,조례호수공원,전남 순천시,문화관광,도시공원,22939
64,진도군,운림산방,전남 진도군 운림산방로 315-0,역사관광,역사유적지,22875
65,순천시,CGV순천신대,전남 순천시 해광로 199-0,문화관광,공연시설,22551
66,영암군,아크로CC,전남 영암군 안적동길 403-0,레저스포츠,육상레저스포츠,22482
67,장흥군,정남진장흥토요시장,전남 장흥군 토요시장1길 53-0,쇼핑,시장,22445
68,여수시,여수종합버스터미널,전남 여수시 좌수영로 268-0,기타관광,교통시설,22422
69,광양시,중마버스터미널,전남 광양시 공영로 91-0,기타관광,교통시설,22330
70,여수시,여수구항방파제등대,전남 여수시,문화관광,랜드마크관광,22262
71,장흥군,JNJ골프리조트,전남 장흥군 제산기동로 326-0,레저스포츠,육상레저스포츠,22213
72,순천시,구례구역,전남 순천시 섬진강로 217-0,기타관광,교통시설,21751
73,여수시,여수연안여객선터미널,전남 여수시 여객선터미널길 17-0,기타관광,교통시설,21522
74,구례군,천은사,전남 구례군 노고단로 209-0,역사관광,종교성지,21303
75,담양군,소쇄원,전남 담양군 소쇄원길 17-0,역사관광,역사유적지,20655
76,화순군,무등산CC,전남 화순군 오성로 292-90,레저스포츠,육상레저스포츠,20647
77,강진군,마량항,전남 강진군 미항로 169-0,자연관광,자연경관(하천/해양),20644
